headword	orig order	re1	re2
die Hölle heißmachen	2832	die Hölle + \bheiß(\b|m|z|g) + _MACHEN	
die Katze beißt sich in den Schwanz	2834	die Katze + in den Schwanz + \b(beißt|biss|gebissen)	
die Klingen kreuzen	2835	die Klingen + kreuz	
die Krätze kriegen	2836	die Krätze + KRIEGEN	
die Krise kriegen	2837	die Krise + KRIEGEN	
die Leviten lesen	2838	die Leviten + LESEN	
die Pfanne heiß haben	2839	die Pfanne + \b[Hh]eiß\b + HABEN	
die Ruhe weghaben	2840	die Ruhe + \bweg(\b|h|z|g) + _HABEN	
die Stange halten	2841	die Stange + HALTEN	
die Sterne vom Himmel	2842	die Sterne vom Himmel	
die Stiefel lecken	2843	die Stiefel + LECKEN	
die Suppe versalzen	2844	die Suppe + \bversalz	
die Tage	2845	die Tage + MANUAL_REVIEW	
die Würfel sind gefallen	2846	die Würfel + \b(sind|waren)\b + gefallen	
Dorn im Auge	2848	Dorn im Auge	
Drahtzieher	2849	Drahtzieher	
Dreck am Stecken	2850	Dreck am Stecken	
Drogenfalle	2851	Drogenfalle	
durch den Wind	2852	durch den Wind	
durch die Finger schauen	2853	durch die Finger + SCHAUEN	
durch die Lappen gehen	2854	durch die Lappen + GEHEN	
durch die Weltgeschichte gondeln	2855	durch die Weltgeschichte + gond(el|le)	
durch die Weltgeschichte reisen	2856	durch die Weltgeschichte + REISEN	
eher geht ein Kamel durch ein Nadelöhr	2857	Kamel + Nadelöhr + GEHEN	
Eiertanz	2858	Eiertanz	
ein Ass im Ärmel haben	2859	Ass im Ärmel	ein Ass im Ärmel + HABEN
ein Esel schimpft den andern Langohr	2860	Esel + Langohr + schimpf	
ein Gedächtnis wie ein Sieb	2861	Gedächtnis + wie ein Sieb	
ein Hühnchen rupfen	2862	ein Hühnchen + rupf	
ein Indianer kennt keinen Schmerz	2863	keinen Schmerz + Indianer + KENNEN	
ein Liedchen singen können	2864	ein Liedchen + singen + KÖNNEN	
ein Stein fällt auf den Kopf	2865	Stein + auf den Kopf + FALLEN	
Einbruch der Dunkelheit	2866	Einbruch der Dunkelheit	
Einbruch der Nacht	2867	Einbruch der Nacht	
eine lange Nase machen	2868	eine lange Nase + MACHEN	
eine Nase drehen	2869	eine Nase + dreh	
eine Nummer schieben	2870	eine Nummer + SCHIEBEN	
eine Nummer zu groß	2871	eine Nummer zu groß	
eine Scheibe abschneiden	2872	eine Scheibe + \bab(\b|schn|zuschneiden|geschnitten) + _SCHNEIDEN	eine Scheibe + \bab(\b|s|z|g) + _SCHNEIDEN
einen an der Waffel haben	2873	einen + an der Waffel + HABEN	
einen Bären aufbinden	2874	einen Bären + \bauf(\b|b|z|g) + _BINDEN	
einen Besuch abstatten	2875	einen Besuch + \bab(\b|statt|zustatten|gestattet)	einen Besuch + \bab(\b|s|z|g)
einen guten Draht haben	2876	einen guten Draht + HABEN	
einen Korb geben	2877	einen Korb + GEBEN	
einen Riegel vorschieben	2878	einen Riegel + \bvor(\b|sch|zuschieben|geschoben) + SCHIEBEN	einen Riegel + \bvor(\b|s|z|g) + SCHIEBEN
einen Strick drehen	2879	einen Strick + dreh	
einen Vogel zeigen	2880	einen Vogel + ZEIGEN	
einer Fliege etwas zuleide tun	2881	Fliege + etwas zuleide + TUN	
einer Sache Rechnung tragen	2882	Rechnung + TRAGEN	
einfach so	2883	einfach so + MANUAL_REVIEW	
einfädeln	2884	\bein(\b|fäd|zufädeln|gefädelt) + fäd(el|le)	\bein(\b|f|z|g) + fäd(el|le)
einseifen	2885	\bein(\b|seif|zuseifen|geseift) + seif	\bein(\b|s|z|g) + seif
eiserner Bestand	2886	eiserne(r|n|m|n) Best[aä]nd(e|en)?	
Elfenbeinturm	2887	Elfenbeinturm	
Ende der Fahnenstange	2888	Ende der Fahnenstange	
englische Härte	2889	englische[rn]? Härte.?	
englische Woche	2890	englische[rn]? Wochen?	
Entsafter	2891	Entsafter + MANUAL_REVIEW	
Ernst	2892	SEINMN Ernst	
erst recht	2893	erst recht + MANUAL_REVIEW	
es kommt darauf an	2894	es + kommt + da?rauf + an	
es selber machen	2895	es + selber + MACHEN	
es von den Lebenden nehmen	2896	es + von den Lebenden + NEHMEN	
etwas am Hals haben	2897	am Hals + HABEN	
etwas aus der Luft greifen	2898	aus der Luft + GREIFEN	
etwas einreißen lassen	2899	einreißen + LASSEN	
etwas im Zaum halten	2900	im Zaum + HALTEN	
etwas in den Wind schlagen	2901	in den Wind + SCHLAGEN	
etwas in die Schanze schlagen	2902	in die Schanze + SCHLAGEN	
etwas unter den Teppich kehren	2903	unter den Teppich + kehr	
etwas zu Tage fördern	2904	zu Tage + förder	
fehl am Platz	2905	fehl am Platz	
Fehl und Tadel	2906	Fehl und Tadel	
Feld-Wald-und-Wiesen-	2907	\bFeld-Wald-und-Wiesen-	
feucht hinter den Ohren	2908	feucht + hinter den Ohren	
Feuerprobe	2909	Feuerprobe + MANUAL_REVIEW	
fick dich	2910	fick dich	
Fisch muss schwimmen	2911	Fische? + schwimmen + MÜSSEN + MANUAL_REVIEW	
flach wie Holland	2912	flach + wie Holland	
flöten gehen	2913	flöten + GEHEN	
fündig werden	2914	fündig + WERDEN	
Fünfjahresplan	2915	Fünfjahresplan	
fünftes Rad am Wagen	2916	fünfte[smn]? Rad' + am Wagen	
für das Protokoll	2917	für das Protokoll	
fürs Protokoll	2918	fürs Protokoll	
ganz dicht sein	2919	ganz dicht + MANUAL_REVIEW	ganz dicht + SEIN + MANUAL_REVIEW
ganz schön	2920	ganz schön	
gehüpft wie gesprungen	2921	gehüpft + wie gesprungen	
gelb vor Neid	2922	gelb + vor Neid	
gelinde gesagt	2923	gelinde gesagt	
gemeiner Mitteleuropäer	2924	[Gg]emeine[rnms]? Mitteleuropäer[ns]?	
gesund und munter	2925	gesund und munter	
Gewalt antun	2926	Gewalt + ANTUN	
große Liebe	2927	[Gg]roße[rn]? Lieben?	
grün vor Neid	2928	grün + vor Neid	
grüne Grenze	2929	[Gg]rüne[rn]? Grenzen?	
gut Ding will Weile haben	2930	gut Ding + Weile + haben + WOLLEN	
gut Wetter machen	2931	gut Wetter + MACHEN + MANUAL_REVIEW	
guten Glaubens	2932	guten Glaubens	
guter Hoffnung	2933	guter Hoffnung	
Haar in der Suppe	2934	Haar in der Suppe	
haben können	2935	haben + KÖNNEN + MANUAL_REVIEW	
halbe Miete	2936	halbe[rn]? Mieten?	
handeln	2937	es + sich + \b(handelte?|gehandelt)\b + um + MANUAL_REVIEW	
harte Nuss	2938	[Hh]arte[rn]? Nuss	
heißes Eisen	2939	\b[Hh]eiße\w* Eisen\b	
hergehen	2940	HER_GEHEN	\bher(\b|z|g) + _GEHEN
Herz aus Gold	2941	Herz aus Gold	
Herz aus Stein	2942	Herz aus Stein	
hingehen, wo der Pfeffer wächst	2943	\bhin(\b|z|g) + _GEHEN + wo der Pfeffer + WACHSEN	
hinters Licht führen	2944	hinters Licht + FÜHREN	
hinwegfegen	2945	\bhinweg(\b|feg|zufegen|gefegt) + _FEGEN	\bhinweg(\b|f|z|g) + _FEGEN
hochnehmen	2946	\bhoch(\b|n|zunehmen|genommen) + _NEHMEN	\bhoch(\b|n|z|g) + _NEHMEN
hochspielen	2947	\bhoch(\b|spiel|zuspielen|gespielt) + spiel	\bhoch(\b|s|z|g) + spiel
hohe Kante	2948	[Hh]ohe[rn]? Kante	
hohe Stirn	2949	[Hh]ohe[rn]? Stirn	
Höhen und Tiefen	2950	Höhen und Tiefen	
Holz vor der Hütte	2951	Holz + vor der Hütte	
Honig um den Bart schmieren	2952	Honig um den Bart + schmier	
Honig um den Mund schmieren	2953	Honig um den Mund + schmier	
Honig ums Maul schmieren	2954	Honig ums Maul + schmier	
Hopfen und Malz, Gott erhalt's	2955	Hopfen und Malz + Gott erhalt.?s	
Hundeleben	2956	Hundeleben	
Hundertschaft	2957	Hundertschaft	
i-Tüpfelchen	2958	i-Tüpfelchen	
im Auftrag	2959	im Auftrag	
im Auge behalten	2960	im Auge + BEHALTEN	
im Auge haben	2961	im Auge + HABEN	
im Bilde über etwas sein	2962	im Bilde + über + SEIN	
im falschen Film	2963	im falschen Film	
im Feld bleiben	2964	im Feld + BLEIBEN	
im Gebälk knacken	2965	im Gebälk + knack	
im Gebälk knirschen	2966	im Gebälk + knirsch	
im Gebälk knistern	2967	im Gebälk + knister	
im Gebälk krachen	2968	im Gebälk + krach	
im Gebälk rascheln	2969	im Gebälk + rasch(el|le)	
im Griff haben	2970	im Griff + HABEN	
im Kopf haben	2971	im Kopf + HABEN	
im selben Atemzug	2972	im selben Atemzug	
im Sturm einnehmen	2973	im Sturm + \bein(\b|n|z|g) + _NEHMEN	
im Sturm nehmen	2974	im Sturm + NEHMEN	
in acht Tagen	2975	in acht Tagen + MANUAL_REVIEW	
in Acht und Bann	2976	in Acht und Bann	
in Betracht kommen	2977	in Betracht + KOMMEN	
in den Himmel heben	2978	in den Himmel + HEBEN	
in den Tee tun	2979	in den Tee + TUN	
in den Wind schlagen	2980	in den Wind + SCHLAGEN	
in den Wind sprechen	2981	in den Wind + SPRECHEN	
in der Weltgeschichte herumgondeln	2982	in der Weltgeschichte + \bherum(\b|z|g) + gond(el|le)	
in der Weltgeschichte herumreisen	2983	in der Weltgeschichte + \bherum(\b|z|g) + _REISEN	
in die Ehe bringen	2984	in die Ehe + BRINGEN	
in die Enge treiben	2985	in die Enge + TREIBEN	
in die Hand beißen, die einen füttert	2986	in die Hand + BEIẞEN + die + \b(ge)?fütterte?\b	
in die Luft sprengen	2987	in die Luft + spreng	
in die Pfanne hauen	2988	in die Pfanne + HAUEN	
in die Pflicht nehmen	2989	in die Pflicht + NEHMEN	
in die Quere kommen	2990	in die Quere + KOMMEN	
in die Wege leiten	2991	in die Wege + LEITEN	
in Eile gefreit, in Muße bereut	2992	in Eile + frei + in Muße + \bereu	
in eine Schublade stecken	2993	in eine Schublade + STECKEN	
in einen Sack stecken und draufhauen	2994	in einen Sack + STECKEN + \bda?rauf(\b|h|z|g) + _HAUEN	
in guter Gesellschaft	2995	in guter Gesellschaft	
in höchstem Maße	2996	in höchstem Maße	
in puncto	2997	in puncto	
in Ungnade fallen	2998	in Ungnade + FALLEN	
in Vertretung	2999	in Vertretung	
in Zukunft	3000	in Zukunft	
ins Bild setzen	3001	ins Bild + SETZEN	
ins Detail gehen	3002	ins Detail + GEHEN	
ins Einzelne gehen	3003	ins Einzelne + GEHEN	
ins Feld führen	3004	ins Feld + FÜHREN	
ins Reine bringen	3005	ins Reine + BRINGEN	
ins Reine kommen	3006	ins Reine + KOMMEN	
ins Treffen führen	3007	ins Treffen + FÜHREN	
ins Visier geraten	3008	ins Visier + GERATEN	
ins Visier nehmen	3009	ins Visier + NEHMEN	
ins Ziel gehen	3010	ins Ziel + GEHEN	
Jacke wie Hose	3011	Jacke wie Hose	
jemandem ans Bein pinkeln	3012	ans Bein + pink(el|le)	
jemandem den Arsch lecken	3013	den Arsch + LECKEN	
jemandem die Stirn bieten	3014	die Stirn + BIETEN	
jemandem etwas zur Last legen	3015	zur Last + LEGEN	
jemandem in den Arsch kriechen	3017	in den Arsch + KRIECHEN	
jemandem in den Hintern kriechen	3018	in den Hintern + KRIECHEN	
jemandem in Fleisch und Blut übergehen	3019	in Fleisch und Blut + \büber(\b|z|g) + _GEHEN	
jemandem Saures geben	3020	Saures + GEBEN	
jemandem stehen die Haare zu Berge	3021	die Haare + zu Berge + STEHEN	
jemandem zur Seite stehen	3022	zur Seite + STEHEN	
jemanden am Arsch lecken	3023	am Arsch + LECKEN	
jemanden mal können	3024	\b[DdMm]ich\b + mal + \b[Kk]ann(st)?	mal + KÖNNEN + MANUAL_REVIEW
jemandes Speichel lecken	3025	Speichel + LECKEN	
jetzt schlägt's dreizehn	3026	jetzt schlägt.?s dreizehn	
Kaiser von China	3027	Kaiser von China	
kalter Bauer	3028	\b[Kk]alte[rnms] Bauer[ns]?\b	
Katz-und-Maus-Spiel	3029	Katz-und-Maus-Spiel	
katzenfreundlich	3030	katzenfreundlich	
kein Kommentar	3031	kein Kommentar	
kein Pardon kennen	3032	kein Pardon + KENNEN	
keine halben Sachen machen	3034	keine halben Sachen + MACHEN	
keine zehn Pferde	3035	keine zehn Pferde	
Königsweg	3036	Königsweg	
Kopf und Kragen	3037	Kopf und Kragen	
Kost und Logis	3038	Kost und Logis	
kreidebleich	3039	kreidebleich	
Kuhdorf	3040	Kuhdorf	
laufen lassen	3041	laufen + LASSEN	
Leber	3042	\b[Dd](ie|er) Leber\b + MANUAL_REVIEW	
Leiche im Keller	3043	Leichen? + im Keller + MANUAL_REVIEW	
leichter gesagt als getan	3044	[Ll]eichter gesagt + als getan	
lieb und teuer	3045	lieb und teuer	
Löwenanteil	3046	Löwenanteil	
Lüdenscheid-Nord	3047	Lüdenscheid-Nord	
Luftschloss	3048	Luftschloss	
Lügen strafen	3049	Lügen + straf	
meines Wissens	3050	meines Wissens	
Melkkuh	3051	Melkkuh	
mit allem Drum und Dran	3052	mit allem Drum und Dran	
mit anderen Worten	3053	mit anderen Worten	
mit angehaltenem Atem	3054	mit angehaltenem Atem	
mit Argusaugen beobachten	3055	mit Argusaugen + \bbeobachte	
mit dem Kopf durch die Wand	3056	mit dem Kopf + durch die Wand	
mit der Zeit gehen	3057	mit der Zeit + GEHEN	
mit etwas Schritt halten	3058	mit + Schritt + HALTEN	
mit gewaschenem Hals	3059	mit gewaschenem Hals	
mit jemandem ins Gericht gehen	3060	mit + ins Gericht + GEHEN	
mit jemandem Schlitten fahren	3061	mit + Schlitten + FAHREN	
mit leeren Händen	3062	mit leeren Händen	
mit offenen Augen schlafen	3063	mit offenen Augen + SCHLAFEN	
mit Schimpf und Schande	3064	mit Schimpf und Schande	
mit sich bringen	3065	mit sich + BRINGEN + MANUAL_REVIEW	
mitgehen lassen	3066	mitgehen + LASSEN	
Mittel zum Zweck	3067	Mittel zum Zweck	
mitzeichnen	3068	\bmit(\b|zeichne|zuzeichnen|gezeichnet) + MITZEICHNEN + MANUAL_REVIEW	\bmit(\b|z|g) + zeichne
möglich	3069	\b[Aa]lle.? möglich\w* [A-ZÜÄÖ]	
mundtot machen	3070	mundtot + MACHEN	
Müßiggang ist aller Laster Anfang	3071	Müßiggang + aller Laster Anfang + SEIN	
na also	3072	\b[Nn]a,? also\b	
nach oben buckeln und nach unten treten	3073	nach oben + buck(el|le) + nach unten + TRETEN	
nach seiner Fasson selig werden	3074	nach seiner Fasson + selig + WERDEN	
Nadel im Heuhaufen	3075	Nadel im Heuhaufen	
näher	3076	\b[Nn]äher + MANUAL_REVIEW	
nasses Element	3077	[Nn]asse[smn]? Element	
Negermusik	3078	Negermusik	
nicht der hellste Stern am Himmel	3079	nicht der hellste Stern am Himmel	
nicht einmal mit der Kneifzange anfassen	3080	mit der Kneifzange + nicht (ein)?mal + \ban(\b|f|z|g) + fass	
nichts mit Hast als Flöhe fangen	3081	mit Hast + als Flöhe + nichts + FANGEN	
nichts zu suchen haben	3082	nichts zu suchen + HABEN	
niemand hat die Absicht	3083	niemand + die Absicht + HABEN	
niet- und nagelfest	3084	niet- und nagelfest	
noch nicht aller Tage Abend sein	3085	aller Tage + Abend + noch + nicht + SEIN	
Not kennt kein Gebot	3086	Not + kein Gebot + KENNEN	
ob man will oder nicht	3087	[Oo]b (ich w(ill|ollte)|du w(illst|olltest)|(er|sie|man) w(ill|ollte)|(wir|sie) (wollen|wollten)) oder nicht	
offenes Ohr	3088	offenes Ohr	
ohne Trauschein	3089	ohne Trauschein	
Ostfront	3090	Ostfront + MANUAL_REVIEW	
Ostküste	3091	Ostküste + MANUAL_REVIEW	
Platz nehmen	3092	Platz + NEHMEN + MANUAL_REVIEW	
ranhalten	3093	\bran(\b|h|zuhalten|gehalten) + _HALTEN	\bran(\b|h|z|g) + _HALTEN
rechts ist, wo der Daumen links ist	3094	wo der Daumen links	
Rechtspflege	3095	Rechtspflege + MANUAL_REVIEW	
Rede und Antwort stehen	3096	Rede und Antwort + STEHEN	
Rehauge	3097	\bRehauge + MANUAL_REVIEW	
reinen Wein einschenken	3098	reinen Wein + \bein(\b|schenk|zuschenken|geschenkt) + schenk	reinen Wein + \bein(\b|s|z|g) + schenk
reinsetzen	3099	\brein(\b|setz|zusetzen|gesetzt) + _SETZEN	\brein(\b|s|z|g) + _SETZEN
reinspucken	3100	\brein(\b|s|z|g) + spuck	
Reiz und Reaktion	3101	Reiz und Reaktion	
Rettungsring	3102	\bRettungsring + MANUAL_REVIEW	
rot-weiß	3103	\b[Rr]ot-weiß + MANUAL_REVIEW	
rund um die Uhr	3104	rund um die Uhr	
Sahnehäubchen	3105	Sahnehäubchen + MANUAL_REVIEW	
Salz in die Wunde streuen	3106	Salz + in die Wunde + streu	
schauen wie der Ochs vorm Berg	3107	wie der Ochs + vorm Berg + SCHAUEN	
Schenkelklopfer	3108	Schenkelklopfer + MANUAL_REVIEW	
Schenkelpracker	3109	Schenkelpracker + MANUAL_REVIEW	
schlachtfertig	3110	\b[Ss]chlachtfertig	
Schrei	3111	letzter? Schrei + MANUAL_REVIEW	
schreiben	3112	wie man + SCHREIBEN + MANUAL_REVIEW	
Schubladendenken	3113	Schubladendenken	
Schuss vor den Bug	3114	Schuss + vor den Bug	
schwarzweiß	3115	schwarzweiß	
Schwarzweißdenken	3116	Schwarzweißdenken	
Schwarzweißmalerei	3117	Schwarzweißmalerei	
Schweinsauge	3118	Schweinsauge	
Seele von Mensch	3119	Seele von Mensch	
sein Licht unter den Scheffel stellen	3120	hinters Licht + FÜHREN	
sein wahres Gesicht zeigen	3121	SEINNA wahres Gesicht + ZEIGEN	
seine Wunden lecken	3122	SEINPA Wunden + LECKEN	
Selbstmord aus Angst vor dem Tod	3123	Selbstmord + aus Angst vor dem Tod	
sich aus den Fingern saugen	3124	aus den Fingern + SAUGEN + SICH	
sich blicken lassen	3125	blicken + LASSEN + SICH	
sich den Strick nehmen	3126	den Strick + NEHMEN + SICH	
sich die Butter vom Brot nehmen lassen	3127	die Butter + vom Brot + nehmen + LASSEN + SICH	
sich die Seele aus dem Leib scheißen	3128	die Seele aus dem Leib + SCHEIẞEN + SICH	
sich die Wunden lecken	3129	die Wunden + LECKEN + SICH	
sich ehrlich machen	3130	ehrlich + MACHEN + SICH	
sich erkenntlich zeigen	3131	erkenntlich + ZEIGEN + SICH	
sich etwas zu eigen machen	3132	zu eigen + MACHEN + SICH	
sich geschlagen geben	3133	geschlagen + GEBEN + SICH	
sich lieb Kind machen	3134	lieb Kind + MACHEN + SICH	
sich Mühe geben	3135	Mühe + GEBEN + SICH	
sich nicht vom Fleck rühren	3136	nicht vom Fleck + rühr + SICH	
sich wacker schlagen	3137	wacker + SCHLAGEN + SICH	
sie alle haben	3138	sie + alle + \b(haben|hätten|hatten)\b	
silberne Löffel klauen	3139	silberne Löffel + KLAUEN	
Silberstreifen am Horizont	3140	Silberstreifen am Horizont	
Sinn und Verstand	3141	Sinn und Verstand	
Sitz im Leben	3142	Sitz im Leben	
sitzen bleiben	3143	sitzen + BLEIBEN + MANUAL_REVIEW	
so spielt man mit Studenten	3144	mit Student(en)? + spiel + MANUAL_REVIEW	
so tun, als ob	3145	so + TUN + als ob	
spanisch sprechen	3146	spanisch + SPRECHEN	
Spendierhosen	3147	Spendierhosen	
Spitze des Eisbergs	3148	die Spitze des Eisbergs	
Spitzentanz	3149	Spitzentanz	
starker Tobak	3150	[Ss]tarke[rmns]? Tobak(es|en)?	
Steigbügelhalter	3151	Steigbügelhalter	
Stinkefinger	3152	Stinkefinger	
Strippenzieher	3153	Strippenzieher	
Stuhlgang haben	3154	Stuhlgang + HABEN	
Stunde der Wahrheit	3155	Stune der Wahrheit	
Sturm der Entrüstung	3156	Sturm der Entrüstung	
tagein tagaus	3157	tagein,? tagaus	
Tatterich	3158	Tatterich	
Treppchen	3159	Treppchen	
Trittbrettfahrer	3160	Trittbrettfahrer	
Tropfen, der das Fass zum Überlaufen bringt	3161	das Fass + zum Überlaufen + BRINGEN	
tun, was man nicht lassen kann	3162	nicht lassen + TUN + was + KÖNNEN	
über den Durst trinken	3163	über den Durst + TRINKEN	
über den Löffel barbieren	3164	über den Löffel + barbier	
über die Dörfer	3166	über die Dörfer	
über die Planke gehen	3167	über die Planke + GEHEN	
über einen Kamm scheren	3170	über einen Kamm + scher	
über Nacht	3172	über Nacht + MANUAL_REVIEW	
überwerfen	3174	\büber(\b|w.rf|zuwerfen|geworfen) + _WERFEN + SICH	\büber(\b|w|z|g) + _WERFEN
um den Finger wickeln	3175	um den Finger + wick(el|le)	
um Rat fragen	3176	um Rat + frag	
unter uns	3177	unter uns	
unterste Schublade	3178	\b[Uu]nterste[rn] Schubladen?\b	
verschlagen	3179	\b([Dd]ie Sprache|[Dd]en Atem)\b + VERSCHLAGEN	
Versuchsballon	3180	Versuchsballon	
vier Buchstaben	3181	vier Buchstaben	
vom rechten Weg abbringen	3182	vom rechten Weg + \bab(\b|b|z|g) + _BRINGEN	
vom Tellerwäscher zum Millionär	3183	Tellerwäscher + Millionär	
von einem Tag auf den anderen	3184	von einem Tag auf den anderen	
von ganzem Herzen	3185	von ganzem Herzen	
von gestern	3186	von gestern + MANUAL_REVIEW	
von Grund auf	3187	von Grund auf	
von Mann zu Mann	3188	von Mann zu Mann	
von vorn	3189	von vorn + MANUAL_REVIEW	
vor den Kopf stoßen	3190	vor den Kopf + STOẞEN	
vor nichts haltmachen	3191	vor nichts + \bhalt(\b|m|z|g) + _MACHEN	
Vorschlag zur Güte	3192	Vorschlag zur Güte	
warm essen	3193	warm + ESSEN + MANUAL_REVIEW	
was Sie nicht sagen	3194	\b[Ww]as (Sie|du) nicht (sagen|sagst)\b	
was zum Kuckuck	3195	\b[Ww]as,? zum Kuckuck	
Weltkriegsgefreiter	3196	Weltkriegsgefreiter	
wenn der Berg nicht zum Propheten kommt, muss der Prophet wohl zum Berge kommen	3197	der Prophet + zum Berge + KOMMEN + MANUAL_REVIEW	
wenn man vom Teufel spricht, kommt er	3198	vom Teufel + SPRECHEN + KOMMEN	
wer nie sein Brot im Bette aß, weiß nicht, wie Krümel piken	3199	SEINNA Brot + im Bette? + ESSEN + pik + Krümel	
wider Erwarten	3200	wider Erwarten	
Widerspruch in sich	3201	Widerspruch in SICHB	
wie Arsch auf Eimer passen	3202	Arsch auf Eimer + pass	
wie die Made im Speck leben	3203	Made + im Speck + LEBEN	
wie die Ölsardinen	3204	wie die Ölsardinen	
wie die Pest meiden	3205	wie die Pest + meid	
wie ein Blinder von der Farbe reden	3206	wie ein Blinder + REDEN	
wie ein Blitz aus heiterem Himmel	3207	wie ein Blitz + aus heiterem Himmel	
wie ein Pferd arbeiten	3208	wie ein Pferd + arbeite	
wie gewonnen, so zerronnen	3209	wie gewonnen + zerronnen	
wie Gott ihn schuf	3210	wie Gott + \b(schuf|geschaffen)\b	
wie Gott in Frankreich leben	3211	wie Gott in Frankreich	
wie Pastor Nolte	3212	wie Pastor Nolte	
wie von Geisterhand	3213	wie von Geisterhand	
wie von Zauberhand	3214	wie von Zauberhand	
wir sind wieder wer	3215	\b[Ww]ir (sind|waren) wieder wer\b	
wissen, was man getan hat	3216	WISSEN + was + getan + HABEN	
Witz, komm raus	3217	Witz + \braus(\b|k|z|g) + KOMMEN	
wohl oder übel	3218	wohl oder übel	
Wurzeln schlagen	3219	Wurzeln + SCHLAGEN	
zu Gesicht bekommen	3220	zu Gesicht + BEKOMMEN	
zu Grabe tragen	3221	zu Grabe + TRAGEN	
zu gut, um wahr zu sein	3222	zu gut + um wahr zu sein	
zu Herzen nehmen	3223	zu Herzen + NEHMEN	
zugehen	3224	ZU_GEHEN + MANUAL_REVIEW	\bzu(\b|z|g) + _GEHEN + MANUAL_REVIEW
zum einen Ohr hinein- und zum anderen wieder hinausgehen	3225	einen Ohr + hinein + anderen + hinaus	
zum Narren halten	3226	zum Narren + HALTEN	
zum Teufel schicken	3227	zum Teufel + schick	
zum Tragen kommen	3228	zum Tragen + KOMMEN	
Zünglein an der Waage	3229	Zünglein + an der Waage	
